Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
plantedCorn3HarvestPlayer,blocks,Farming,,,Corn Plant,,Maispflanze,Planta de maíz,Plant de maïs,Pianta di granoturco,トウモロコシプラント,옥수수,Kukurydza,Planta de milho,Растение «Кукуруза»,Mısır Bitkisi,玉米植株,玉米植株
plantedCotton3HarvestPlayer,blocks,Farming,,,Cotton,,Baumwolle,Algodón,Coton,Cotone,綿花,목화,Bawełna,Algodão,Хлопок,Pamuk,棉花,棉花
plantedGoldenrod3HarvestPlayer,blocks,Farming,,,Goldenrod Flower,,Goldrutenpflanze,Flor de vara de oro,Fleur de gerbe d'or,Fiore di verga d'oro,アキノキリンソウの花,미역취 꽃,Nawłoć — kwiat,Flor de solidago,Цветок золотарника,Altınbaşak Çiçeği,秋麒麟花,麒麟草花
plantedGraceCorn3HarvestPlayer,blocks,Farming,,,Super Corn,,Super-Mais,Supermaíz,Super maïs,Granoturco super,スーパーコーン,슈퍼 옥수수,Super kukurydza,Supermilho,Суперкукуруза,Süper Mısır,超级玉米,超級玉米
plantedHop3HarvestPlayer,blocks,Farming,,,Hop Plant,,Hopfenpflanze,Planta de lúpulo,Plant de houblon,Pianta di luppolo,ホッププラント,홉,Chmiel,Planta de lúpulo,Растение «Хмель»,Şerbetçiotu Bitkisi,啤酒花植株,啤酒花植株
plantedMushroom3HarvestPlayer,blocks,Farming,,,Mushrooms,,Pilze,Setas,Champignons,Funghi,マッシュルーム,버섯,Grzyby,Cogumelos,Грибы,Mantarlar,蘑菇,蘑菇
plantedPotato3HarvestPlayer,blocks,Farming,,,Potato Plant,,Kartoffelpflanze,Planta de patata,Plant de pomme de terre,Pianta di patata,ジャガイモプラント,감자,Ziemniak,Planta da batata,Растение «Картофель»,Patates Bitkisi,土豆植株,土豆植株
plantedPumpkin3HarvestPlayer,blocks,Farming,,,Pumpkin Plant,,Kürbispflanze,Planta de calabaza,Plant de citrouille,Pianta di zucca,カボチャプラント,호박,Dynia,Planta de Abóbora,Растение «Тыква»,Bal Kabağı Bitkisi,南瓜植株,南瓜籐
plantedSnowberry3HarvestPlayer,blocks,Farming,,,Snowberry Plant,,Schneebeerenpflanze,Planta de baya de nieve,Plant de symphorine,Pianta di sinforina,セッコウボクプラント,스노우베리,Śnieguliczka,Planta de Baga-da-neve,Растение «Снежноягодник»,Kar Üzümü Bitkisi,雪莓植株,白漿果植株
plantedYucca3HarvestPlayer,blocks,Farming,,,Yucca Plant,,Yucca-Pflanze,Planta de yuca,Plant de yucca,Pianta di yucca,ユッカプラント,유카,Jukka,Planta de Yucca,Растение «Юкка»,Avize Ağacı Bitkisi,丝兰植株,絲蘭植株
mushroom01,blocks,Farming,,,Mushrooms,,Pilze,Setas,Champignons,Funghi,キノコ,버섯,Grzyby,Cogumelos,Грибы,Mantarlar,蘑菇,蘑菇
mushroom02,blocks,Farming,,,Mushrooms,,Pilze,Setas,Champignons,Funghi,キノコ,버섯,Grzyby,Cogumelos,Грибы,Mantarlar,蘑菇,蘑菇
plantedCorn2Deco,blocks,Farming,,,Corn Plant,,Maispflanze,Planta de maíz,Plant de maïs,Pianta di granoturco,トウモロコシ,옥수수,Kukurydza,Planta de milho,Растение «Кукуруза»,Mısır Bitkisi,玉米植株,玉米植株
plantedCorn3Harvest,blocks,Farming,,,Corn Plant,,Maispflanze,Planta de maíz,Plant de maïs,Pianta di granoturco,トウモロコシ,옥수수,Kukurydza,Planta de milho,Растение «Кукуруза»,Mısır Bitkisi,玉米植株,玉米植株
plantedYuccaDead,blocks,Farming,,,Dead Yucca,,Tote Yucca-Pflanze,Planta de yuca muerta,Plant de yucca mort,Pianta di yucca morta,枯れたユッカ,죽은 실난초,Martwa jukka — roślina,Planta de yucca morta,Увядшее растение «Юкка»,Ölü Avize Ağacı,枯萎的丝兰植株,枯死的絲蘭植株
plantedCottonDead,blocks,Farming,,,Dead Cotton Plant,,Tote Baumwollpflanze,Planta de algodón muerta,Plant de coton mort,Pianta di cotone morta,枯れた綿花,죽은 목화,Martwa bawełna — roślina,Planta de algodão morta,Увядшее растение «Хлопок»,Ölü Pamuk Bitkisi,枯萎的棉花植株,枯死的棉花植株
plantedCoffeeDead,blocks,Farming,,,Dead Coffee Plant,,Tote Kaffeepflanze,Planta de café muerta,Plant de café mort,Pianta di caffè morta,枯れたコーヒー,죽은 커피,Martwa kawa — roślina,Planta de café morta,Увядшее растение «Кофейное дерево»,Ölü Kahve Bitkisi,枯萎的咖啡植株,枯死的咖啡植株
plantedAloeDead,blocks,Farming,,,Dead Aloe Plant,,Tote Aloepflanze,Planta de aloe muerta,Plant d'aloe vera mort,Pianta di aloe morta,枯れた,죽은 알로에,Martwy aloes — roślina,Babosa morta,Увядшее растение «Алоэ»,Ölü Aloe Bitkisi,枯萎的芦荟植株,枯死的蘆薈植株
plantedBlueberryDead,blocks,Farming,,,Dead Blueberry Plant,,Tote Heidelbeerpflanze,Planta de moras muerta,Plant de myrtille mort,Pianta di mirtilli morta,枯れたブルーベリー,죽은 블루베리,Martwa czarna jagoda — roślina,Planta de mirtilo morta,Увядшее растение «Черника»,Ölü Yabanmersini Bitkisi,枯萎的蓝莓植株,枯死的藍莓植株
plantedPotatoDead,blocks,Farming,,,Dead Potato Plant,,Tote Kartoffelpflanze,Planta de patata muerta,Plant de pomme de terre mort,Pianta di patata morta,枯れたジャガイモ,감자,Martwy ziemniak — roślina,Planta da batata morta,Увядшее растение «Картофель»,Ölü Patates Bitkisi,枯萎的土豆植株,枯死的馬鈴薯植株
plantedCornDeadSmall,blocks,Farming,,,Dead Corn Small,,"Toter Mais, klein",Maíz muerto pequeño,Petit plant de maïs mort,Granoturco morto piccolo,枯れたトウモロコシ、小,죽은 옥수수,Martwa kukurydza — małe,Milho pequeno morto,Маленькая увядшая кукуруза,"Ölü Mısır, Küçük",小号枯萎玉米（目标点）,死亡的玉米，小
plantedCornDeadMedium,blocks,Farming,,,Dead Corn Medium,,"Toter Mais, mittel",Maíz muerto mediano,Plant de maïs mort moyen,Granoturco morto medio,枯れたトウモロコシ、中,죽은 옥수수,Martwa kukurydza — średnie,Milho médio morto,Средняя увядшая кукуруза,"Ölü Mısır, Orta",中号枯萎玉米（目标点）,死亡的玉米，中
plantedCornDead,blocks,Farming,,,Dead Corn Large,,"Toter Mais, groß",Maíz muerto grande,Gros plant de maïs mort,Granoturco morto grande,枯れたトウモロコシ,죽은 옥수수,Martwa kukurydza — duże,Milho grande morto,Большая увядшая кукуруза,"Ölü Mısır, Büyük",大号枯萎玉米（目标点）,死亡的玉米，大
plantedHopDead,blocks,Farming,,,Dead Hop Plant,,Tote Hopfenpflanze,Planta de lúpulo muerta,Plant de houblon mort,Pianta di luppolo morta,枯れたホップ,죽은 홉,Martwy chmiel — roślina,Planta de lúpulo morta,Увядшее растение «Хмель»,Ölü Şerbetçiotu Bitkisi,枯萎的啤酒花植株,枯死的啤酒花植株
plantedCropsGroupDesc,blocks,Farming,,,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.",,"Pflanze diese Samen auf einem durch die Fertigung herstellbaren „Beete und Felder“-Block, um Pflanzen zum Ernten anzubauen.","Planta estas semillas en una parcela agrícola para que crezcan plantas que podrás cultivar.","Plantez ces graines sur un bloc de parcelle cultivable à fabriquer pour faire pousser des plantes et les récolter.","Pianta questi semi in un terreno agricolo per coltivare piante da raccogliere.","これらの種をクラフト可能な耕作区画に植えて育てると、収穫が可能になります。","Zasadź nasiona na dostępnej do tworzenia żyznej ziemi, aby wyrosły rośliny do zebrania.","Plante estas sementes num bloco de terreno agrícola fabricável para cultivar plantas e colhê-las.","Посадите эти семена на фермерской делянке, чтобы вырастить растения и собрать урожай.",Bu tohumları işlenebilen bir Çiftlik Arsası blokuna ekerek hasat edebileceğin bitkiler yetiştir.,在可制作的农田上种植这些种子，长成植物后即可收获。,將這些種子種在可耕種的農地塊裡，種子長成後就可以收成了。
